Trial,Song,False trials,Performance
Baseline,Tydyy,20,0
Baseline,Tydyy,1,95
Baseline,Tydyy,1,95
Baseline,Tydyy,1,95
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Listen,Tydyy,30,0
Listen,Tydyy,2,93
Listen,Tydyy,8,73
Listen,Tydyy,7,77
Listen,Tydyy,2,93
Listen,Tydyy,3,90
Listen,Tydyy,4,87
Listen,Tydyy,30,0
Listen,Tydyy,12,60
Listen,Tydyy,30,0
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Sing along,Tydyy,4,87
Sing along,Tydyy,3,90
Sing along,Tydyy,8,73
Sing along,Tydyy,22,27
Sing along,Tydyy,1,97
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing from memory ,Tydyy,1,97
Sing from memory ,Tydyy,3,90
Sing from memory ,Tydyy,4,87
Sing from memory ,Tydyy,9,70
Sing from memory ,Tydyy,5,83
Sing from memory ,Tydyy,29,3
Sing from memory ,Tydyy,26,13
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Baseline,Uulaa,1,95
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Listen,Uulaa,1,97
Listen,Uulaa,19,37
Listen,Uulaa,2,93
Listen,Uulaa,1,97
Listen,Uulaa,5,83
Listen,Uulaa,27,10
Listen,Uulaa,5,83
Listen,Uulaa,30,0
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Sing along,Uulaa,1,97
Sing along,Uulaa,9,70
Sing along,Uulaa,23,23
Sing along,Uulaa,2,93
Sing along,Uulaa,7,77
Sing along,Uulaa,3,90
Sing along,Uulaa,1,97
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing from memory ,Uulaa,1,97
Sing from memory ,Uulaa,1,97
Sing from memory ,Uulaa,5,83
Sing from memory ,Uulaa,2,93
Sing from memory ,Uulaa,5,83
Sing from memory ,Uulaa,3,90
Sing from memory ,Uulaa,30,0
Sing from memory ,Uulaa,27,10
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
